iter	Logloss
0	0.5397869157
1	0.4516611785
2	0.4041731818
3	0.3762201571
4	0.3599933455
5	0.3507744419
6	0.343894459
7	0.3396520646
8	0.3358092875
9	0.3321508777
10	0.3303688863
11	0.3286484515
12	0.3266313527
13	0.3257638459
14	0.3247502999
15	0.3234423843
16	0.3227833752
17	0.3218636134
18	0.3210075488
19	0.3207099221
20	0.3200724204
21	0.3197750964
22	0.3194562503
23	0.3190877854
24	0.3179443443
25	0.3177183047
26	0.317305626
27	0.3166362763
28	0.3162073796
29	0.3159068084
30	0.3153357366
31	0.3151511662
32	0.3149215873
33	0.3145444627
34	0.3142514235
35	0.3139212297
36	0.313248007
37	0.3129157824
38	0.3126045006
39	0.3123360639
40	0.3121196489
41	0.3118955013
42	0.3114095047
43	0.3109483231
44	0.3106906197
45	0.3104012442
46	0.3102199812
47	0.3099257908
48	0.3097022009
49	0.3091081531
50	0.3088060982
51	0.3085490552
52	0.3080811133
53	0.307804644
54	0.30765277
55	0.3072009626
56	0.306767553
57	0.306331217
58	0.3056333712
59	0.3052861002
60	0.304509549
61	0.304061581
62	0.303399604
63	0.3027386165
64	0.302199589
65	0.3018039082
66	0.3015002383
67	0.3011910475
68	0.3007564204
69	0.3003410309
70	0.2997798433
71	0.299296708
72	0.2988759864
73	0.2984592792
74	0.2981845826
75	0.2974398677
76	0.2969318249
77	0.2964239349
78	0.296107595
79	0.29585398
80	0.2955947515
81	0.2953536556
82	0.2951464461
83	0.2946086127
84	0.2943316918
85	0.2939879724
86	0.2937659918
87	0.2935183341
88	0.2930905812
89	0.2927077916
90	0.2923260534
91	0.2920558219
92	0.2917434964
93	0.2913443948
94	0.2909657382
95	0.2905536183
96	0.290330487
97	0.2901027082
98	0.2896328916
99	0.2893390645
100	0.288858058
101	0.2885348764
102	0.2881997223
103	0.2877029462
104	0.287420276
105	0.2869806491
106	0.2866359747
107	0.2864111146
108	0.2860524523
109	0.2857065073
110	0.2853892494
111	0.2851070256
112	0.2846758187
113	0.2843701766
114	0.2840525131
115	0.2837498741
116	0.2834806253
117	0.2831546039
118	0.2827610172
119	0.2825579903
120	0.2823056564
121	0.2821733928
122	0.2818581514
123	0.281575684
124	0.2814168466
125	0.2812625571
126	0.2809859004
127	0.2807525035
128	0.2806388424
129	0.2804208643
130	0.2801933112
131	0.279895657
132	0.2797139422
133	0.2793783921
134	0.2791168716
135	0.2787227122
136	0.2786022544
137	0.2783830495
138	0.2778399471
139	0.2776548735
140	0.2774561874
141	0.2773379202
142	0.2770321781
143	0.2767464888
144	0.2765280878
145	0.2762307179
146	0.2759073944
147	0.2756709045
148	0.2755496208
149	0.2753219655
150	0.274999409
151	0.2748074478
152	0.2745348997
153	0.2743449
154	0.2739591588
155	0.2737155655
156	0.2733342122
157	0.2729662309
158	0.272736485
159	0.2724741581
160	0.2721266396
161	0.2718412299
162	0.2716466564
163	0.2713510995
164	0.2711394462
165	0.2708954411
166	0.2706473399
167	0.270401427
168	0.2701041247
169	0.2699724261
170	0.269769371
171	0.2696062515
172	0.2693277556
173	0.2691603592
174	0.2689849074
175	0.2687792952
176	0.2685883575
177	0.2682586013
178	0.2680885073
179	0.2678047976
180	0.2676933947
181	0.26748008
182	0.2672661794
183	0.2670867036
184	0.2667987808
185	0.2664868815
186	0.266221219
187	0.2659807932
188	0.2657086405
189	0.2655771668
190	0.2653742279
191	0.2651099444
192	0.2649691988
193	0.264753836
194	0.2645689019
195	0.2643407752
196	0.2641882234
197	0.264027614
198	0.2638810162
199	0.2637539773
