iter	Passed	Remaining
0	15	3041
1	26	2613
2	38	2532
3	50	2451
4	61	2401
5	72	2343
6	84	2318
7	96	2324
8	108	2292
9	121	2302
10	133	2289
11	147	2304
12	159	2297
13	171	2281
14	183	2265
15	196	2255
16	208	2247
17	220	2228
18	232	2214
19	244	2199
20	255	2177
21	268	2172
22	280	2159
23	292	2148
24	304	2132
25	316	2119
26	328	2104
27	340	2089
28	353	2081
29	365	2072
30	376	2055
31	389	2043
32	400	2026
33	412	2014
34	424	1999
35	435	1983
36	448	1974
37	461	1968
38	474	1960
39	486	1945
40	498	1933
41	509	1918
42	520	1902
43	532	1886
44	544	1873
45	554	1856
46	566	1842
47	577	1829
48	588	1813
49	600	1801
50	612	1789
51	624	1776
52	636	1765
53	648	1753
54	659	1739
55	671	1727
56	682	1711
57	694	1699
58	706	1689
59	718	1676
60	730	1664
61	741	1650
62	751	1634
63	764	1624
64	775	1611
65	788	1600
66	799	1588
67	810	1573
68	822	1562
69	834	1549
70	846	1537
71	858	1525
72	870	1514
73	881	1501
74	893	1489
75	904	1476
76	915	1463
77	926	1449
78	937	1436
79	950	1425
80	962	1414
81	974	1402
82	987	1391
83	998	1378
84	1009	1366
85	1020	1353
86	1031	1339
87	1042	1327
88	1054	1315
89	1067	1304
90	1078	1292
91	1090	1279
92	1102	1268
93	1114	1256
94	1125	1244
95	1138	1233
96	1153	1225
97	1168	1216
98	1182	1206
99	1197	1197
100	1274	1249
101	1299	1248
102	1332	1254
103	1347	1243
104	1362	1232
105	1375	1219
106	1386	1205
107	1398	1191
108	1410	1177
109	1421	1163
110	1433	1149
111	1444	1135
112	1457	1121
113	1468	1107
114	1480	1094
115	1492	1080
116	1502	1066
117	1514	1052
118	1526	1039
119	1538	1025
120	1550	1012
121	1562	999
122	1574	985
123	1586	972
124	1599	959
125	1610	945
126	1622	932
127	1633	918
128	1644	905
129	1657	892
130	1668	879
131	1679	865
132	1691	852
133	1703	838
134	1713	825
135	1724	811
136	1735	798
137	1748	785
138	1760	772
139	1772	759
140	1783	746
141	1794	733
142	1807	720
143	1818	707
144	1830	694
145	1842	681
146	1854	668
147	1865	655
148	1876	642
149	1888	629
150	1899	616
151	1910	603
152	1921	590
153	1933	577
154	1945	564
155	1957	552
156	1969	539
157	1981	526
158	1992	513
159	2003	500
160	2015	488
161	2027	475
162	2038	462
163	2051	450
164	2062	437
165	2074	424
166	2086	412
167	2097	399
168	2109	386
169	2121	374
170	2133	361
171	2143	349
172	2157	336
173	2168	324
174	2180	311
175	2191	298
176	2202	286
177	2214	273
178	2226	261
179	2237	248
180	2249	236
181	2262	223
182	2273	211
183	2285	198
184	2298	186
185	2309	173
186	2322	161
187	2333	148
188	2344	136
189	2356	124
190	2367	111
191	2379	99
192	2392	86
193	2403	74
194	2415	61
195	2427	49
196	2440	37
197	2450	24
198	2462	12
199	2473	0
